protein1,protein2,combined_score,protein1_original_name,protein2_original_name
9606.ENSP00000247271,9606.ENSP00000467537,367,OMG,PTPRS
9606.ENSP00000247461,9606.ENSP00000371308,187,CANX,CENPJ
9606.ENSP00000247461,9606.ENSP00000260197,190,CANX,SORL1
9606.ENSP00000247461,9606.ENSP00000363435,776,CANX,ITPR3
9606.ENSP00000247461,9606.ENSP00000267113,165,CANX,ESYT1
9606.ENSP00000247461,9606.ENSP00000302728,165,CANX,GUSB
9606.ENSP00000247668,9606.ENSP00000361664,520,TRAF2,HIVEP3
9606.ENSP00000247668,9606.ENSP00000325827,292,TRAF2,SEC16A
9606.ENSP00000247668,9606.ENSP00000269848,186,TRAF2,PFKL
9606.ENSP00000247668,9606.ENSP00000424226,238,TRAF2,TENM3
9606.ENSP00000247843,9606.ENSP00000350032,229,YEATS4,FRMD4A
9606.ENSP00000247970,9606.ENSP00000384018,644,PIN1,NCOR2
9606.ENSP00000247977,9606.ENSP00000394888,363,FBXL12,DOCK8
9606.ENSP00000247986,9606.ENSP00000263934,540,KIF17,KIF1B
9606.ENSP00000247986,9606.ENSP00000384164,540,KIF17,KIF16B
9606.ENSP00000248114,9606.ENSP00000397269,193,GFER,FAM136A
9606.ENSP00000248248,9606.ENSP00000384164,377,MON1B,KIF16B
9606.ENSP00000248437,9606.ENSP00000257430,292,TUBA4A,APC
9606.ENSP00000248437,9606.ENSP00000293879,375,TUBA4A,WDR90
9606.ENSP00000248437,9606.ENSP00000384018,169,TUBA4A,NCOR2
9606.ENSP00000248444,9606.ENSP00000435389,292,VIL1,PLEKHA7
9606.ENSP00000248594,9606.ENSP00000313420,194,PTPN12,PRKDC
9606.ENSP00000248598,9606.ENSP00000363435,327,FGL2,ITPR3
9606.ENSP00000248668,9606.ENSP00000467537,551,LRFN1,PTPRS
9606.ENSP00000248846,9606.ENSP00000371308,900,TUBGCP6,CENPJ
9606.ENSP00000248901,9606.ENSP00000350032,445,CYTH4,FRMD4A
9606.ENSP00000248933,9606.ENSP00000467537,173,SEZ6L,PTPRS
9606.ENSP00000248975,9606.ENSP00000361664,321,YWHAH,HIVEP3
9606.ENSP00000248975,9606.ENSP00000219476,724,YWHAH,TSC2
9606.ENSP00000248975,9606.ENSP00000267622,234,YWHAH,TRIP11
9606.ENSP00000248975,9606.ENSP00000350032,189,YWHAH,FRMD4A
9606.ENSP00000248975,9606.ENSP00000473469,327,YWHAH,DENND4C
9606.ENSP00000248975,9606.ENSP00000424757,420,YWHAH,NEK1
9606.ENSP00000248975,9606.ENSP00000435389,179,YWHAH,PLEKHA7
9606.ENSP00000248975,9606.ENSP00000345133,165,YWHAH,CDC42BPG
9606.ENSP00000248975,9606.ENSP00000371308,234,YWHAH,CENPJ
